dataset,subset_path,subset_name,n_samples,n_features,balanced_acc,f1,roc_auc,inference_time_sec,status
Australian,ImlData_ShapleySubsets/Australian/Australian_MissingCompletely_std10_500_samples_subset.csv,Australian_MissingCompletely_std10_500_samples_subset,500,14,0.8299879566439181,0.8210526315789474,0.8299879566439181,4.331552505493164,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_Outlier_std60_500_samples_subset.csv,Australian_Outlier_std60_500_samples_subset,500,14,0.7922824302134648,0.7428571428571429,0.7922824302134648,4.538161754608154,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_ClassImbalancedness_ratio49_500_samples_subset.csv,Australian_ClassImbalancedness_ratio49_500_samples_subset,500,14,0.8333333333333333,0.7450980392156863,0.8333333333333333,4.015185117721558,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_GaussianFeatureNoise_std30_500_samples_subset.csv,Australian_GaussianFeatureNoise_std30_500_samples_subset,500,14,0.8877960658370132,0.8791208791208791,0.8877960658370132,4.5407257080078125,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_ClassImbalancedness_ratio100_500_samples_subset.csv,Australian_ClassImbalancedness_ratio100_500_samples_subset,500,14,0.8767676767676768,0.8636363636363636,0.8767676767676769,4.016137361526489,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_MissingCompletely_std30_500_samples_subset.csv,Australian_MissingCompletely_std30_500_samples_subset,500,14,0.8382175832998795,0.8260869565217391,0.8382175832998797,4.2804741859436035,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_MissingCompletely_std50_500_samples_subset.csv,Australian_MissingCompletely_std50_500_samples_subset,500,14,0.7992773986350863,0.7872340425531915,0.7992773986350863,4.293127775192261,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_Outlier_std20_500_samples_subset.csv,Australian_Outlier_std20_500_samples_subset,500,14,0.8506493506493507,0.8292682926829268,0.8506493506493507,4.575484037399292,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_GaussianFeatureNoise_std10_500_samples_subset.csv,Australian_GaussianFeatureNoise_std10_500_samples_subset,500,14,0.930349257326375,0.9263157894736842,0.930349257326375,4.580437660217285,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_original_500_samples_subset.csv,Australian_original_500_samples_subset,500,14,0.8594941790445605,0.851063829787234,0.8594941790445605,4.050021648406982,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_ClassImbalancedness_ratio05_363_samples_subset.csv,Australian_ClassImbalancedness_ratio05_363_samples_subset,363,14,1.0,0.0,nan,3.085805654525757,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_GaussianFeatureNoise_std50_500_samples_subset.csv,Australian_GaussianFeatureNoise_std50_500_samples_subset,500,14,0.8819751103974307,0.8775510204081632,0.8819751103974307,4.578296422958374,ok
