A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
,,209.0,3.0,1.0,,,0.0,0.0,1.0,1.0,3.0,,,1
1.0,,164.0,,,,,,1.0,,0.0,2.0,,90.0,1
1.0,23.0,,,4.0,,14.0,1.0,,1.0,,2.0,24.0,1.0,1
,303.0,,,3.0,5.0,67.0,0.0,,,1.0,,21.0,1.0,0
,,,2.0,8.0,,,1.0,,,0.0,,,,0
1.0,,,,,8.0,,1.0,1.0,2.0,,2.0,,,1
0.0,,167.0,,14.0,,,1.0,1.0,,0.0,,1.0,97.0,1
1.0,,,,,4.0,65.0,,,10.0,0.0,2.0,87.0,133.0,1
1.0,,,1.0,2.0,8.0,65.0,0.0,0.0,,,,,117.0,0
,184.0,12.0,,,4.0,3.0,0.0,,,,2.0,63.0,1.0,0
0.0,,46.0,,,4.0,,,,,1.0,2.0,,,0
1.0,106.0,,,4.0,4.0,,,,3.0,,,60.0,,0
,,,2.0,11.0,,2.0,,,2.0,0.0,,69.0,,1
,207.0,,,,5.0,85.0,0.0,0.0,1.0,0.0,,,129.0,0
,35.0,87.0,1.0,3.0,,,0.0,,1.0,,2.0,,150.0,0
,114.0,,2.0,,,,,1.0,,1.0,2.0,,1.0,1
,,,,6.0,4.0,,,1.0,,0.0,,,124.0,1
,334.0,,2.0,11.0,4.0,,,0.0,1.0,,,4.0,229.0,1
,,48.0,1.0,,,67.0,1.0,1.0,,,2.0,,,1
,,,2.0,4.0,,,0.0,,,,,1.0,1.0,0
,49.0,,,,4.0,49.0,1.0,1.0,6.0,,2.0,77.0,,1
1.0,97.0,,2.0,,4.0,26.0,1.0,,4.0,,2.0,,,1
1.0,14.0,,,4.0,4.0,2.0,,0.0,1.0,1.0,2.0,,32.0,0
0.0,,85.0,2.0,1.0,,1.0,,1.0,,0.0,,1.0,77.0,0
1.0,89.0,,2.0,,,5.0,,1.0,3.0,0.0,,107.0,166.0,0
,18.0,139.0,2.0,,4.0,34.0,1.0,,1.0,1.0,,,,1
1.0,,13.0,2.0,7.0,4.0,7.0,1.0,1.0,,0.0,,92.0,234.0,1
,136.0,,,,,,1.0,,2.0,1.0,,,,1
,,35.0,2.0,7.0,,29.0,,0.0,1.0,0.0,,,1.0,0
,,120.0,,,,93.0,1.0,,1.0,1.0,1.0,,,1
1.0,135.0,193.0,,,4.0,4.0,,0.0,1.0,,,1.0,93.0,0
,235.0,,,,5.0,99.0,,1.0,17.0,,,37.0,,1
1.0,,,,3.0,,,1.0,,16.0,,,,213.0,1
0.0,50.0,,,13.0,,9.0,1.0,,,,,24.0,,1
0.0,,55.0,,1.0,,99.0,0.0,1.0,,0.0,,,11.0,0
1.0,216.0,,2.0,,8.0,,1.0,,13.0,1.0,,,,1
1.0,162.0,197.0,2.0,,,14.0,1.0,0.0,,0.0,2.0,,1.0,0
1.0,,,2.0,3.0,,,,,1.0,,2.0,63.0,,0
,292.0,,2.0,,1.0,8.0,0.0,0.0,1.0,,2.0,,,0
,54.0,,1.0,8.0,,,,,1.0,0.0,2.0,98.0,,0
1.0,,6.0,,,,52.0,,,1.0,,1.0,,1.0,1
1.0,,,,,8.0,33.0,,0.0,1.0,,2.0,,1.0,1
1.0,181.0,34.0,2.0,12.0,8.0,,1.0,0.0,1.0,,2.0,,237.0,1
,154.0,161.0,2.0,11.0,8.0,3.0,,,13.0,,2.0,,,0
1.0,,,,,,110.0,,0.0,,,2.0,1.0,,0
0.0,181.0,61.0,,13.0,,,,0.0,1.0,,,,63.0,0
1.0,65.0,,,4.0,,39.0,,,,,2.0,,,0
,7.0,,2.0,8.0,4.0,43.0,,1.0,6.0,1.0,,115.0,130.0,1
,143.0,,1.0,8.0,,2.0,,0.0,,0.0,,,,0
1.0,,92.0,,7.0,,,1.0,0.0,1.0,,,,1.0,1
,178.0,,2.0,6.0,4.0,43.0,,,,1.0,2.0,165.0,,0
,163.0,,,,5.0,,,,1.0,,1.0,107.0,1.0,0
1.0,,56.0,1.0,14.0,8.0,2.0,0.0,,,0.0,2.0,40.0,2.0,0
