A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1.0,253.0,149.0,2.0,14.0,8.0,107.0,1.0,1.0,9.0,0.0,2.0,1.0,1.0,1
0.0,120.0,11.0,2.0,7.0,8.0,4.0,0.0,1.0,2.0,1.0,2.0,95.0,52.0,0
1.0,179.0,66.0,1.0,9.0,4.0,101.0,0.0,0.0,1.0,1.0,2.0,98.0,1.0,0
1.0,62.0,164.0,2.0,14.0,4.0,8.0,1.0,1.0,7.0,0.0,2.0,39.0,1.0,1
3.4916348342493517,87.00182808372536,7.006363261718676,2.6024715494213706,7.412052863355559,4.566306535909952,37.99251948732604,0.525203129153044,0.4302825678113248,3.3697415541610027,0.4461063763029937,1.927545340855968,58.96868749823976,55.24133269414979,0
-0.0785806319252294,377.8876280164267,226.399795557504,1.7856986648237791,7.312431558375104,4.728501401545241,32.08262704521565,0.5181327476896507,0.4209468990870786,3.298989232127352,0.4579140920693777,1.92898088367046,58.79570865292842,55.14944429465135,0
0.0,187.0,48.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,107.0,1.0,0
-1.001256160111173,287.40731404250835,82.25735685580452,1.7721704250233423,7.141162705287026,4.852988806992847,36.31685159897043,0.5305771446818206,0.4209978234051024,3.4336495631278,0.4582246180419487,1.928897642795816,58.94861463559882,55.26517492544866,0
0.0,278.0,26.0,2.0,11.0,8.0,63.0,1.0,1.0,2.0,0.0,2.0,110.0,145.0,1
1.0,190.0,70.0,2.0,3.0,5.0,58.0,0.0,0.0,1.0,1.0,2.0,84.0,77.0,0
1.0,176.0,46.0,2.0,13.0,8.0,93.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1
0.0,70.0,164.0,1.0,11.0,4.0,65.0,1.0,0.0,1.0,1.0,2.0,94.0,1.0,0
1.8554592725508403,85.48979259048204,115.20445248308124,1.184235289698757,6.478585715842904,4.765273147191167,31.55125094516188,0.4461842643781344,0.4282583130700488,3.277872480550502,0.4528230317681477,1.929557782911576,58.7149571048515,55.18288153630451,1
1.0,68.0,164.0,2.0,9.0,4.0,47.0,1.0,1.0,2.0,0.0,2.0,24.0,90.0,1
1.0,24.0,156.0,2.0,8.0,8.0,28.0,0.0,0.0,1.0,0.0,2.0,107.0,14.0,0
1.0,190.0,106.0,2.0,9.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,100.0,7.0,1
0.0,147.0,107.0,2.0,10.0,2.0,52.0,1.0,1.0,6.0,1.0,2.0,31.0,115.0,1
0.0,50.0,158.0,2.0,13.0,8.0,9.0,1.0,1.0,2.0,1.0,2.0,24.0,36.0,1
1.0,40.0,13.0,2.0,11.0,4.0,47.0,1.0,1.0,3.0,1.0,2.0,24.0,1.0,1
1.2799065983441156,412.9310337113659,108.33154195153035,1.7491595234407655,7.372563707112391,4.69390915207012,37.175887294636965,0.522737612809446,0.4275559426697222,3.298444646859537,0.4579806148875177,1.9289924578500688,58.79696985350263,55.14379756355714,0
0.0,98.0,187.0,1.0,1.0,1.0,47.0,0.0,1.0,2.0,1.0,2.0,69.0,2.0,0
1.0,91.0,180.0,2.0,9.0,4.0,24.0,1.0,0.0,1.0,1.0,2.0,92.0,1.0,0
1.0,67.0,139.0,2.0,6.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
1.0,130.0,103.0,1.0,8.0,5.0,37.0,1.0,1.0,9.0,1.0,2.0,47.0,8.0,1
-1.309686924213716,144.54196737497227,116.41693515462222,1.5515590720057308,6.808680964102613,6.625276585731739,41.932387705415366,0.6271607937005085,0.2901394352774847,3.515727505359584,0.4011621042490808,1.9328328439876807,56.47589585267864,57.50408788503629,0
2.509283148990221,196.019309316571,47.77632735888493,1.508929089081762,5.846154638131926,4.694699415438716,37.16142389134436,0.5237599539212731,0.4274757487366242,3.2964941550878977,0.4579698743912417,1.928985231721342,58.79714722539888,55.14365495815024,0
-0.9433565511411344,138.0740777329804,60.64437662571863,2.0774442671287083,5.786496357462726,4.468209257175294,27.53975943283581,0.4638445174638012,0.431918231961591,3.364732462289709,0.4597856509304177,1.9291668058718097,58.65759411207407,55.11615686642926,0
1.0,210.0,26.0,1.0,2.0,4.0,16.0,0.0,0.0,1.0,0.0,2.0,86.0,4.0,0
1.0,350.0,109.0,2.0,8.0,4.0,15.0,1.0,0.0,1.0,0.0,2.0,1.0,99.0,0
0.0,19.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,25.0,1.0,0
1.0,44.0,141.0,2.0,8.0,4.0,41.0,1.0,1.0,4.0,1.0,2.0,11.0,27.0,1
2.3546223870997123,121.72779654167304,70.55387020675627,1.746179194095369,6.898371877444892,4.8107233766421045,37.58999276883419,0.5250968655066788,0.4343159134465703,3.299751431133352,0.4585790160092585,1.9291180918620372,58.810727550682095,55.20851553682765,1
1.0,172.0,192.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,53.0,2.0,0
1.0,9.0,29.0,2.0,7.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,69.0,1.0,0
1.0,118.0,26.0,2.0,8.0,8.0,78.0,1.0,1.0,4.0,1.0,2.0,106.0,66.0,1
1.0,218.0,37.0,1.0,2.0,4.0,37.0,0.0,0.0,1.0,1.0,2.0,138.0,1.0,1
0.866241820118897,473.583586464787,75.42834203334449,1.6939019578822792,6.677125766035172,4.672771832888473,34.90523435486976,0.5524095304771143,0.5122895512055733,3.3841630170481904,0.4563632453332776,1.9271657830047677,58.80102125557323,55.14319132778069,0
1.0,42.0,165.0,2.0,8.0,4.0,47.0,0.0,0.0,1.0,1.0,2.0,44.0,1.0,0
0.0,141.0,55.0,1.0,10.0,8.0,47.0,0.0,0.0,1.0,0.0,2.0,91.0,18.0,0
-0.1829165724925695,189.3352261737416,137.66244425036828,2.365417185151724,4.535372641694487,6.18076331645467,93.46652566980345,0.7272404461099056,0.3495363970985373,3.2252314604887657,0.4563998734017291,1.9298568001528424,58.64909664427572,55.14754707538573,0
0.0,90.0,34.0,1.0,1.0,1.0,14.0,1.0,1.0,4.0,0.0,2.0,63.0,65.0,0
1.0,242.0,46.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,102.0,1.0,0
