A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
0.0,134.0,85.0,2.0,8.0,4.0,7.0,0.0,1.0,2.0,1.0,2.0,11.0,67.0,0
1.0,213.0,55.0,2.0,3.0,4.0,7.0,0.0,0.0,1.0,1.0,2.0,78.0,1.0,0
1.0,250.0,52.0,2.0,4.0,4.0,6.0,1.0,0.0,1.0,0.0,2.0,53.0,1.0,0
1.0,215.0,87.0,2.0,8.0,5.0,85.0,1.0,0.0,1.0,1.0,1.0,98.0,1.0,0
0.0,38.0,6.0,2.0,11.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,124.0,1.0,0
1.0,140.0,40.0,2.0,8.0,8.0,7.0,0.0,1.0,3.0,1.0,2.0,131.0,52.0,0
1.0,163.0,102.0,1.0,6.0,4.0,110.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,98.0,180.0,2.0,2.0,4.0,26.0,0.0,0.0,1.0,1.0,2.0,63.0,153.0,0
1.0,159.0,75.0,2.0,8.0,4.0,58.0,0.0,1.0,3.0,1.0,2.0,53.0,33.0,0
0.0,144.0,22.0,2.0,9.0,4.0,7.0,0.0,0.0,1.0,1.0,2.0,102.0,1.0,0
0.0,72.0,123.0,2.0,8.0,4.0,5.0,0.0,0.0,1.0,0.0,2.0,53.0,1.0,0
1.0,201.0,200.0,1.0,8.0,4.0,76.0,1.0,0.0,1.0,0.0,2.0,24.0,1.0,0
1.0,156.0,48.0,2.0,2.0,4.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
1.0,137.0,13.0,2.0,8.0,4.0,8.0,0.0,0.0,1.0,0.0,2.0,77.0,62.0,0
1.0,32.0,1.0,2.0,11.0,4.0,18.0,0.0,0.0,1.0,0.0,2.0,53.0,2.0,0
1.0,126.0,46.0,2.0,9.0,4.0,52.0,0.0,1.0,2.0,1.0,2.0,32.0,4.0,0
1.0,92.0,18.0,2.0,7.0,4.0,26.0,0.0,0.0,1.0,1.0,2.0,38.0,2.0,0
0.0,43.0,40.0,2.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
1.0,270.0,46.0,2.0,8.0,4.0,58.0,1.0,0.0,1.0,1.0,2.0,45.0,1.0,0
1.0,63.0,17.0,2.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,117.0,1.0,0
0.0,223.0,93.0,2.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,53.0,1.0,0
