A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
,,47.0,,,,74.0,1.0,1.0,6.0,1.0,,32.0,,1
0.0,,25.0,2.0,9.0,4.0,,0.0,,2.0,,2.0,86.0,5.0,0
1.0,52.0,73.0,,2.0,,,1.0,,,,2.0,53.0,2.0,1
1.0,213.0,78.0,,11.0,8.0,113.0,1.0,0.0,1.0,,2.0,33.0,127.0,1
1.0,236.0,102.0,,,,,,,,0.0,2.0,2.0,,0
,,33.0,,,4.0,,0.0,,1.0,,,69.0,1.0,0
,79.0,182.0,,,4.0,4.0,0.0,1.0,,0.0,,1.0,217.0,0
0.0,,26.0,,,,63.0,1.0,,2.0,,,,,1
1.0,,,2.0,,4.0,,,,,1.0,2.0,,,1
1.0,167.0,,,,,104.0,1.0,,,,,157.0,1.0,0
,,,2.0,3.0,,,0.0,0.0,1.0,,2.0,45.0,3.0,0
,248.0,102.0,,11.0,8.0,85.0,1.0,1.0,,1.0,2.0,,,1
,69.0,111.0,2.0,11.0,4.0,60.0,,1.0,,,2.0,,,1
,203.0,26.0,,,4.0,,,0.0,,1.0,2.0,83.0,1.0,0
,,,2.0,3.0,,,,0.0,1.0,,2.0,92.0,86.0,0
,,10.0,,,,,0.0,0.0,,0.0,2.0,69.0,1.0,0
1.0,164.0,26.0,,,4.0,,0.0,0.0,1.0,,2.0,107.0,1.0,0
,,52.0,,8.0,,26.0,1.0,1.0,,,2.0,53.0,218.0,1
,143.0,26.0,1.0,8.0,,2.0,0.0,,,0.0,,86.0,1.0,0
,133.0,74.0,,14.0,8.0,59.0,1.0,1.0,2.0,0.0,,20.0,1.0,1
0.0,50.0,,2.0,3.0,,,,0.0,,,,,,0
1.0,48.0,,1.0,8.0,4.0,,1.0,,1.0,,1.0,11.0,1.0,1
,246.0,,1.0,9.0,,,0.0,,,0.0,2.0,,75.0,0
,93.0,,,,4.0,,1.0,,,0.0,,,,1
1.0,,52.0,2.0,14.0,8.0,,,1.0,5.0,,,,144.0,1
,,,,8.0,7.0,,0.0,1.0,,1.0,,53.0,123.0,0
1.0,,,2.0,3.0,5.0,,,0.0,1.0,1.0,2.0,,,0
,,183.0,2.0,8.0,5.0,,1.0,1.0,3.0,0.0,,,110.0,1
1.0,124.0,,,14.0,,26.0,,,5.0,,2.0,45.0,224.0,1
1.0,,,,9.0,,,,,,0.0,2.0,,,0
1.0,,,,,8.0,129.0,1.0,,,,,,150.0,1
,,,1.0,,4.0,69.0,,,,,2.0,16.0,173.0,1
1.0,,,,,4.0,40.0,,1.0,4.0,0.0,2.0,,,1
1.0,,184.0,2.0,13.0,4.0,14.0,,0.0,,,,1.0,3.0,0
,43.0,40.0,2.0,,4.0,,,,,0.0,,,,0
1.0,66.0,61.0,,,,4.0,0.0,0.0,1.0,0.0,,53.0,,0
,181.0,34.0,2.0,,8.0,,1.0,0.0,1.0,,,,237.0,1
1.0,36.0,144.0,2.0,11.0,4.0,26.0,,0.0,,,,,109.0,1
1.0,,,,11.0,4.0,73.0,0.0,0.0,,0.0,2.0,144.0,,0
1.0,,66.0,,6.0,,,0.0,1.0,3.0,,,,1.0,0
,,92.0,,13.0,,79.0,,1.0,2.0,,,38.0,1.0,1
1.0,225.0,,2.0,9.0,4.0,,1.0,,,0.0,2.0,,168.0,1
,47.0,127.0,2.0,4.0,4.0,,1.0,,2.0,,2.0,53.0,83.0,1
,,79.0,2.0,7.0,,,0.0,,1.0,1.0,1.0,,1.0,0
1.0,305.0,,,,8.0,,,0.0,,,2.0,69.0,,0
0.0,,,2.0,,,,0.0,,1.0,0.0,2.0,47.0,1.0,0
,70.0,,1.0,,4.0,37.0,0.0,0.0,,,,1.0,206.0,0
0.0,150.0,,2.0,4.0,4.0,93.0,0.0,,,1.0,1.0,32.0,1.0,0
0.0,166.0,,,,,1.0,0.0,0.0,,0.0,,,,0
0.0,,,1.0,,,16.0,,,1.0,,,53.0,,0
,218.0,,,,4.0,2.0,,0.0,1.0,,,38.0,,0
0.0,200.0,,,,,,0.0,,,,2.0,1.0,77.0,0
1.0,,64.0,,9.0,4.0,,0.0,,3.0,0.0,,77.0,2.0,0
0.0,,,2.0,11.0,,2.0,0.0,0.0,,,,124.0,1.0,0
1.0,76.0,,,7.0,4.0,14.0,,,1.0,1.0,,,1.0,0
0.0,70.0,136.0,2.0,11.0,,43.0,,1.0,11.0,,,24.0,149.0,0
1.0,135.0,,2.0,2.0,4.0,,0.0,,,0.0,2.0,1.0,93.0,0
,197.0,40.0,1.0,3.0,,14.0,,,,,2.0,,,0
0.0,,,1.0,1.0,1.0,,0.0,0.0,,,2.0,1.0,5.0,0
1.0,,52.0,2.0,,,,1.0,,1.0,,,53.0,,0
,,151.0,2.0,9.0,8.0,,0.0,,2.0,0.0,2.0,,2.0,0
0.0,18.0,139.0,2.0,6.0,4.0,34.0,,0.0,1.0,1.0,2.0,1.0,,1
1.0,140.0,,,,,7.0,,,3.0,,2.0,131.0,,0
0.0,,,2.0,,4.0,2.0,,,1.0,,2.0,32.0,,1
,,,,1.0,,1.0,,,,1.0,,,51.0,0
,,,2.0,,4.0,10.0,,,2.0,,,53.0,,0
,,,2.0,7.0,,29.0,0.0,0.0,1.0,,,7.0,1.0,0
,,,,,,14.0,1.0,,,,,,43.0,0
,99.0,,2.0,8.0,,63.0,,0.0,,,2.0,,,0
,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,1
,,133.0,1.0,4.0,,,,1.0,,,2.0,65.0,,0
1.0,,,,11.0,8.0,5.0,0.0,0.0,,,2.0,,88.0,0
0.0,154.0,161.0,2.0,11.0,8.0,,,1.0,13.0,1.0,,,,0
1.0,,,2.0,6.0,4.0,,0.0,,,0.0,2.0,24.0,101.0,0
,201.0,77.0,2.0,14.0,8.0,74.0,1.0,0.0,1.0,,,163.0,1.0,0
,,164.0,2.0,,,47.0,1.0,,2.0,,,,,1
1.0,,27.0,2.0,9.0,4.0,8.0,0.0,1.0,,,2.0,136.0,91.0,0
,308.0,196.0,2.0,8.0,,93.0,,1.0,,0.0,2.0,,,1
1.0,242.0,46.0,,,5.0,1.0,,0.0,,0.0,1.0,,,0
,306.0,46.0,2.0,2.0,4.0,,0.0,0.0,1.0,,2.0,,101.0,0
0.0,,,1.0,,4.0,81.0,1.0,,,,,,,0
1.0,77.0,,2.0,,4.0,28.0,,1.0,,1.0,2.0,18.0,,1
,,11.0,,,1.0,,0.0,,11.0,0.0,,69.0,19.0,0
1.0,,68.0,2.0,13.0,4.0,,0.0,,,1.0,2.0,1.0,116.0,0
1.0,58.0,148.0,,,,,1.0,0.0,1.0,,2.0,45.0,1.0,0
,,37.0,1.0,2.0,,,0.0,0.0,1.0,,2.0,138.0,,1
,130.0,103.0,,8.0,5.0,,,1.0,9.0,,,47.0,8.0,1
,,108.0,2.0,,,,0.0,,,0.0,2.0,24.0,,0
1.0,,,,,4.0,65.0,1.0,,,0.0,2.0,87.0,133.0,1
0.0,,87.0,2.0,,,,,,,,2.0,,148.0,1
1.0,,,,8.0,,,0.0,0.0,1.0,0.0,2.0,77.0,,0
1.0,,204.0,1.0,1.0,1.0,,0.0,1.0,3.0,,,,,0
1.0,,,2.0,,4.0,,,0.0,1.0,1.0,,32.0,1.0,0
1.0,281.0,,2.0,,5.0,126.0,,1.0,20.0,,,1.0,233.0,1
,187.0,48.0,,,,1.0,1.0,0.0,1.0,,2.0,107.0,,0
0.0,71.0,162.0,2.0,11.0,,,1.0,1.0,,1.0,2.0,,,1
,227.0,46.0,,,1.0,,0.0,0.0,1.0,0.0,2.0,23.0,1.0,0
,184.0,12.0,1.0,13.0,4.0,,0.0,,1.0,,2.0,63.0,,0
,49.0,40.0,,8.0,8.0,34.0,,1.0,,1.0,2.0,,,0
,,,1.0,,3.0,,,1.0,,1.0,,,1.0,1
,,164.0,2.0,,8.0,26.0,1.0,1.0,12.0,0.0,2.0,1.0,,1
1.0,79.0,,,11.0,4.0,55.0,1.0,1.0,4.0,,2.0,1.0,122.0,1
1.0,,36.0,1.0,,4.0,,,,1.0,0.0,2.0,58.0,73.0,0
1.0,163.0,17.0,,8.0,5.0,23.0,,,1.0,1.0,,,1.0,0
,,29.0,2.0,3.0,8.0,,0.0,,1.0,,2.0,77.0,6.0,0
,314.0,197.0,2.0,,9.0,,1.0,1.0,20.0,0.0,,50.0,,0
0.0,272.0,160.0,2.0,,4.0,,1.0,,8.0,1.0,,1.0,,1
0.0,,115.0,2.0,4.0,,26.0,1.0,,,,,,,1
1.0,177.0,66.0,,13.0,8.0,,1.0,1.0,,,2.0,,183.0,1
1.0,47.0,,,,4.0,52.0,,,,0.0,2.0,,,1
1.0,174.0,,,2.0,,,,0.0,,,2.0,38.0,1.0,0
,170.0,87.0,,,4.0,,,,1.0,1.0,2.0,,1.0,0
1.0,190.0,,2.0,,4.0,3.0,0.0,0.0,,,2.0,,7.0,1
,23.0,,1.0,7.0,4.0,2.0,,,,0.0,,,,0
,78.0,1.0,,,,3.0,1.0,,1.0,,2.0,1.0,1.0,1
1.0,85.0,46.0,2.0,2.0,8.0,45.0,1.0,1.0,7.0,,,69.0,,1
