dataset,subset_path,subset_name,n_samples,n_features,balanced_acc,f1,roc_auc,inference_time_sec,status
Australian,ImlData_ShapleySubsets/Australian/Australian_MissingCompletely_std10_500_samples_subset.csv,Australian_MissingCompletely_std10_500_samples_subset,500,14,0.8352272727272727,0.813953488372093,0.8352272727272727,5.259705066680908,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_Outlier_std60_500_samples_subset.csv,Australian_Outlier_std60_500_samples_subset,500,14,0.7613219094247246,0.7105263157894737,0.7613219094247246,4.5233190059661865,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_ClassImbalancedness_ratio49_500_samples_subset.csv,Australian_ClassImbalancedness_ratio49_500_samples_subset,500,14,0.8200000000000001,0.7555555555555555,0.8200000000000001,4.026916265487671,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_GaussianFeatureNoise_std30_500_samples_subset.csv,Australian_GaussianFeatureNoise_std30_500_samples_subset,500,14,0.8585858585858586,0.8444444444444444,0.8585858585858587,4.554611682891846,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_ClassImbalancedness_ratio100_500_samples_subset.csv,Australian_ClassImbalancedness_ratio100_500_samples_subset,500,14,0.8782467532467533,0.8636363636363636,0.8782467532467533,4.158898115158081,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_MissingCompletely_std30_500_samples_subset.csv,Australian_MissingCompletely_std30_500_samples_subset,500,14,0.8565656565656565,0.8409090909090909,0.8565656565656564,4.274939060211182,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_MissingCompletely_std50_500_samples_subset.csv,Australian_MissingCompletely_std50_500_samples_subset,500,14,0.8313204508856682,0.8210526315789474,0.8313204508856683,4.256958961486816,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_Outlier_std20_500_samples_subset.csv,Australian_Outlier_std20_500_samples_subset,500,14,0.8060606060606061,0.7959183673469388,0.8060606060606061,4.535038471221924,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_GaussianFeatureNoise_std10_500_samples_subset.csv,Australian_GaussianFeatureNoise_std10_500_samples_subset,500,14,0.9030303030303031,0.8936170212765957,0.9030303030303031,4.580353498458862,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_original_500_samples_subset.csv,Australian_original_500_samples_subset,500,14,0.9191919191919191,0.9111111111111111,0.9191919191919191,4.024402856826782,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_ClassImbalancedness_ratio05_363_samples_subset.csv,Australian_ClassImbalancedness_ratio05_363_samples_subset,363,14,1.0,0.0,nan,3.064319372177124,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_Outlier_std100_500_samples_subset.csv,Australian_Outlier_std100_500_samples_subset,500,14,0.7600644122383253,0.7446808510638298,0.7600644122383253,4.566601991653442,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_GaussianFeatureNoise_std50_500_samples_subset.csv,Australian_GaussianFeatureNoise_std50_500_samples_subset,500,14,0.8311922922521076,0.8247422680412371,0.8311922922521077,4.55161452293396,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_MissingCompletely_std10_500_samples_subset.csv,Australian_MissingCompletely_std10_500_samples_subset,500,14,0.8336038961038961,0.8172043010752689,0.8336038961038962,5.935427188873291,ok
Australian,ImlData_ShapleySubsets/Australian/Australian_Outlier_std60_500_samples_subset.csv,Australian_Outlier_std60_500_samples_subset,500,14,0.8023255813953488,0.7536231884057971,0.8023255813953488,4.668972015380859,ok
