train_idx,oe_score
123,0.016788121
170,0.012964213
48,0.011776947
41,0.011746411
198,0.010749007
149,0.010494977
320,0.010006587
323,0.009970704
347,0.009631107
362,0.009474002
166,0.009381284
319,0.009330345
340,0.009218691
86,0.009097127
111,0.008510346
92,0.008282905
132,0.008021583
104,0.008014908
138,0.0077396287
231,0.007732272
210,0.0077287527
160,0.007676374
321,0.0075727687
118,0.007500832
91,0.007246154
161,0.007000187
13,0.00688889
208,0.0066580595
255,0.006462589
105,0.0063790022
14,0.006170881
103,0.005935721
334,0.005867772
19,0.0058168992
338,0.0057793697
290,0.005723806
78,0.0056692543
67,0.005657458
190,0.0056533962
185,0.005619959
225,0.005606778
68,0.005502106
175,0.0054623215
187,0.0053849593
24,0.005302583
66,0.0053002727
212,0.005297343
117,0.0052715987
261,0.005141133
107,0.0051129805
183,0.005008335
339,0.0050080256
22,0.0049880496
82,0.0049809017
288,0.004978238
256,0.004958731
294,0.004927802
359,0.0048630266
75,0.0047647073
230,0.0047168084
236,0.004714324
207,0.0047101816
134,0.0046913233
44,0.0046398984
217,0.0046245223
157,0.004623036
299,0.00461281
59,0.0046033766
27,0.0045944257
188,0.004565429
296,0.0045282855
286,0.0044823145
224,0.004470843
253,0.0044601588
124,0.004302026
353,0.0042978083
241,0.004293971
130,0.004257723
85,0.0042548724
164,0.0042376975
209,0.004220536
274,0.0042120083
250,0.0041891723
196,0.004185706
317,0.00412991
315,0.004113903
337,0.004065591
47,0.0040604235
53,0.0040587755
38,0.004057162
139,0.004055547
33,0.0040180506
95,0.0039951606
176,0.0039917314
133,0.0039909948
249,0.0039712572
203,0.0039501833
25,0.003931898
199,0.0038755417
12,0.0038746237
49,0.0038714367
20,0.0038624927
238,0.003855827
346,0.0037869893
197,0.003786516
84,0.0037771736
260,0.0037755207
51,0.0037686583
154,0.003759679
301,0.0036987935
29,0.0036815621
306,0.003651987
115,0.003626362
228,0.0036156334
300,0.00359867
305,0.003587151
79,0.0035786373
64,0.0035663235
291,0.0035508915
162,0.00350674
343,0.0034899325
279,0.0034788218
177,0.0034782353
345,0.0034764595
153,0.003473231
173,0.0034520007
127,0.0034438495
348,0.003437262
283,0.0034323353
200,0.003422652
97,0.003422161
204,0.0033966005
131,0.0033845708
28,0.0033561562
336,0.0033560456
352,0.0033380971
351,0.0033293874
189,0.0033274223
99,0.0033187487
63,0.003302902
350,0.0032885768
150,0.003281995
222,0.0032735034
310,0.0032663476
172,0.00326193
333,0.003251478
71,0.0032508716
264,0.0032469104
98,0.0032458194
324,0.0032432247
223,0.0032297052
42,0.0032285016
145,0.0032202087
302,0.003219803
267,0.0032176706
165,0.003196823
220,0.0031767762
90,0.0031741962
168,0.0031650842
287,0.003164731
326,0.0031527262
270,0.0031447322
263,0.0031354402
213,0.0031234699
137,0.0031107424
120,0.003096887
143,0.0030831539
83,0.0030636375
43,0.0030626296
57,0.003054543
106,0.0030388683
341,0.0030331067
119,0.003026476
69,0.0030187634
259,0.003017258
227,0.003008558
182,0.0030061244
6,0.0029998315
34,0.0029754727
252,0.0029638412
309,0.0029563396
201,0.0029469333
147,0.0029459759
114,0.0029390634
76,0.0029288693
136,0.0029187896
61,0.0029037881
55,0.0029002153
18,0.002894456
330,0.002892179
349,0.0028875875
151,0.002886578
144,0.0028841537
251,0.00287608
191,0.0028689785
195,0.0028668575
221,0.0028652358
72,0.0028585962
273,0.002848403
358,0.0028335277
229,0.0028316043
192,0.0028266783
219,0.002822812
246,0.0028195214
211,0.0028172862
121,0.0028077464
40,0.0028047669
318,0.0027901365
167,0.0027858906
303,0.0027805746
184,0.002771268
125,0.0027627319
17,0.0027609076
357,0.0027602944
332,0.002757726
140,0.002741852
355,0.0027401806
312,0.002739378
234,0.0027387845
354,0.0027340828
316,0.0027326164
3,0.0027260096
325,0.0027199672
174,0.0027197734
360,0.0027162973
2,0.002714095
81,0.002713544
328,0.0027100972
45,0.0027078919
60,0.002707832
50,0.002707045
77,0.0027058697
282,0.0026939623
56,0.002690544
110,0.0026883038
159,0.0026850095
65,0.0026745119
128,0.0026706872
322,0.0026573532
1,0.0026434914
268,0.002616983
5,0.0026108874
307,0.0025936845
152,0.0025867985
93,0.0025738268
285,0.0025650144
216,0.0025539391
344,0.002550671
179,0.002536134
271,0.0025222595
292,0.0025212876
180,0.0025173165
248,0.0025018363
88,0.0025000724
52,0.0024998877
171,0.0024849088
62,0.0024498205
240,0.0024464154
10,0.0024347513
26,0.0024252299
205,0.0024202962
11,0.0024183288
87,0.0024156324
16,0.002412587
129,0.0023883437
186,0.0023761352
313,0.0023594894
146,0.002351793
155,0.0023508347
257,0.002348727
356,0.0023375074
37,0.0023350934
314,0.0023283525
112,0.002325294
23,0.0023166167
278,0.0023157762
7,0.0023058404
311,0.0023046979
74,0.0023024338
32,0.0022936347
39,0.0022912044
70,0.0022816164
226,0.0022784334
178,0.0022743098
113,0.0022699742
280,0.0022691921
335,0.002260053
169,0.002247199
158,0.0022465147
233,0.0022385912
8,0.0022374
245,0.0022067386
135,0.0022049213
327,0.0021896053
109,0.002170032
101,0.0021595906
126,0.0021420277
277,0.002141335
215,0.0021322644
289,0.002125475
239,0.0021129176
89,0.0020996623
275,0.0020912874
254,0.0020778154
181,0.0020762451
46,0.0020752896
206,0.0020639088
163,0.0020519109
156,0.0020417857
242,0.0020415485
235,0.002029559
31,0.0020232988
232,0.0020200266
244,0.0020171157
361,0.0020147122
331,0.0019912769
94,0.0019900694
281,0.0019769294
102,0.0019746055
100,0.0019456807
30,0.0019322162
148,0.0019135099
243,0.0018858254
108,0.0018856361
36,0.0018824212
73,0.0018765528
298,0.0018661044
304,0.0018420592
297,0.0018373418
9,0.0018263984
21,0.0018182906
194,0.0018139904
0,0.001794155
295,0.0017883638
116,0.0017678734
122,0.0017576048
142,0.0017504573
237,0.0017114051
15,0.0017075079
214,0.0016786195
96,0.0016607167
265,0.0016526744
284,0.0016261407
308,0.0016046532
35,0.0015871951
202,0.0015781673
276,0.0015646361
258,0.0015646179
262,0.001560208
4,0.0015475724
293,0.0015170606
141,0.0015149855
58,0.0015142214
247,0.0014893472
80,0.0014791816
329,0.0014532844
218,0.0014468911
272,0.0014221824
193,0.0013954953
266,0.0013125105
342,0.0013117959
269,0.0012049049
54,0.0011535964
