A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
0.0,,,2.0,3.0,4.0,3.0,,,,,2.0,47.0,,0
1.0,248.0,102.0,2.0,11.0,8.0,85.0,1.0,,,1.0,2.0,,,1
1.0,230.0,115.0,2.0,7.0,4.0,32.0,1.0,,6.0,,2.0,34.0,,1
,72.0,,2.0,,3.0,52.0,,0.0,1.0,,1.0,1.0,,1
0.0,,46.0,2.0,,1.0,1.0,0.0,1.0,3.0,1.0,,69.0,,0
1.0,183.0,52.0,,14.0,,81.0,1.0,1.0,5.0,1.0,,,144.0,1
,,177.0,2.0,7.0,4.0,31.0,1.0,1.0,5.0,1.0,2.0,69.0,1.0,1
1.0,,,2.0,9.0,4.0,85.0,,,7.0,,2.0,152.0,,1
1.0,236.0,,2.0,9.0,4.0,,,,7.0,1.0,2.0,20.0,1.0,1
,137.0,13.0,2.0,8.0,,,,,,,2.0,,62.0,0
1.0,64.0,,,9.0,4.0,8.0,0.0,1.0,2.0,0.0,2.0,136.0,,0
1.0,37.0,119.0,2.0,9.0,,36.0,1.0,1.0,8.0,0.0,2.0,24.0,199.0,1
1.0,175.0,,2.0,,,93.0,1.0,1.0,13.0,1.0,,132.0,,1
0.0,53.0,102.0,1.0,,,1.0,0.0,0.0,1.0,0.0,,,1.0,0
0.0,,33.0,2.0,11.0,4.0,26.0,1.0,,3.0,,2.0,56.0,115.0,0
,,48.0,,,8.0,,,,13.0,1.0,2.0,160.0,131.0,1
,212.0,,,,1.0,1.0,0.0,,11.0,0.0,,69.0,19.0,0
,148.0,34.0,,,5.0,14.0,1.0,1.0,,1.0,2.0,,27.0,0
,92.0,73.0,,,,44.0,1.0,1.0,19.0,0.0,2.0,1.0,115.0,1
,83.0,169.0,,4.0,,,0.0,0.0,1.0,1.0,2.0,,,0
1.0,42.0,165.0,2.0,,4.0,,,0.0,1.0,,2.0,44.0,1.0,0
0.0,265.0,121.0,2.0,,4.0,102.0,1.0,1.0,4.0,1.0,2.0,,1.0,1
,173.0,,,,,2.0,1.0,,1.0,0.0,2.0,141.0,,1
1.0,190.0,,2.0,,4.0,3.0,0.0,0.0,1.0,1.0,2.0,100.0,7.0,1
1.0,,,,,,119.0,1.0,0.0,1.0,1.0,2.0,,,0
,,12.0,,4.0,4.0,8.0,0.0,0.0,1.0,0.0,,69.0,1.0,0
,214.0,5.0,1.0,8.0,4.0,37.0,0.0,0.0,,1.0,2.0,84.0,55.0,1
1.0,,164.0,,2.0,,,1.0,,1.0,,,1.0,1.0,0
,32.0,1.0,,11.0,,,0.0,0.0,,,,53.0,2.0,0
