@relation nomao

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 {1,2}
@attribute V8 {1,2}
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 {1,2,3}
@attribute V16 {1,2,3}
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 {1,2,3}
@attribute V24 {1,2,3}
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {1,2,3}
@attribute V32 {1,2,3}
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 {1,2,3}
@attribute V40 {1,2,3}
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 {1,2,3}
@attribute V48 {1,2,3}
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 {1,2,3}
@attribute V56 {1,2,3}
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 {1,2,3}
@attribute V64 {1,2,3}
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 {1,2,3}
@attribute V72 {1,2,3}
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 {1,2,3}
@attribute V80 {1,2,3}
@attribute V81 numeric
@attribute V82 numeric
@attribute V83 numeric
@attribute V84 numeric
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 {1,2,3}
@attribute V88 {1,2,3}
@attribute V89 numeric
@attribute V90 numeric
@attribute V91 numeric
@attribute V92 {1,2,3}
@attribute V93 numeric
@attribute V94 numeric
@attribute V95 numeric
@attribute V96 {1,2,3}
@attribute V97 numeric
@attribute V98 numeric
@attribute V99 numeric
@attribute V100 {1,2,3}
@attribute V101 numeric
@attribute V102 numeric
@attribute V103 numeric
@attribute V104 {1,2,3}
@attribute V105 numeric
@attribute V106 numeric
@attribute V107 numeric
@attribute V108 {1,2,3}
@attribute V109 numeric
@attribute V110 numeric
@attribute V111 numeric
@attribute V112 {1,2,3}
@attribute V113 numeric
@attribute V114 numeric
@attribute V115 numeric
@attribute V116 {1,2,3}
@attribute V117 numeric
@attribute V118 numeric
@attribute Class {1,2}

@data
1,1,1,1,1,1,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.714286,0.846154,0.8,0.804878,0.731707,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.999967,0.75,0.5,2,0.999953,0.777778,0.461538,2,1,1,2
1,0.75,0.857143,0.857143,0.894737,0.947368,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.714286,0.846154,0.8,0.891892,0.810811,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.999807,0.5,0.307692,2,0.999983,0.538462,0.4375,2,1,1,2
1,1,1,1,1,1,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.833333,0.916667,0.866667,0.970588,0.882353,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.999983,0.666667,0.461538,2,0.999993,0.8,0.666667,2,1,1,2
1,0.75,0.857143,0.857143,0.842105,0.833333,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.8,0.571429,0.791667,0.761752,0.870968,0.78125,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0,0.272727,0.090909,2,0.530065,0.760775,0.647217,1,1,1,1,3,0.999774,0.555556,0.333333,2,0.999962,0.5,0.294118,2,0.998023,0.5,0.285714,2,0.998605,0.555556,0.384615,2,1,0.999994,2
0,0,0.25,0,0.25,0,1,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,1,1,1,1,0.666667,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,1,1,1,3,1,1,1,3,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1,0.979322,2
1,0.5,0.666667,0.666667,0.375,0.411765,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,1,1,1,1,1,1,3,3,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.666667,0.571429,0.828205,0.716117,0.648649,0.545455,2,2,0.714286,0.714286,0.852381,0.785714,0.842105,0.666667,2,2,0,0,0.8,0.5,0.8,0.5,2,2,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,1,1,1,3,0.999513,0.444444,0.25,2,0.999761,0.7,0.4,2,0.999296,0.625,0.285714,2,0.999207,0.666667,0.333333,2,1,0.999999,2
1,0.5,0.666667,0.666667,0.666667,0.7,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,1,1,1,1,1,1,3,3,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.714286,0.892308,0.846154,0.878788,0.8,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.999955,0.75,0.545455,2,0.99892,0.666667,0.333333,2,1,0.999999,2
1,0.5,0.666667,0.666667,0.666667,0.7,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.833333,0.833333,0.833333,0.657143,0.6,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.166667,0.909091,0.714286,2,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1,0.979322,2
1,0.5,0.666667,0.666667,0.375,0.4,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1,0.979322,2
1,0.666667,0.8,0.8,0.65,0.65,2,1,1,1,1,1,1,1,3,3,0,0,0.2,0,0.2,0,2,2,0.666667,0.5,0.571429,0.571429,0.722222,0.590909,2,2,0.5,0.25,0.409722,0.333333,0.325,0.157895,2,2,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.5,0.428571,0.558974,0.5,0.617647,0.487805,2,2,0.857143,0.857143,0.857143,0.857143,0.945946,0.85,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0,0.363636,0.090909,2,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,1,0.996105,0.444444,0.333333,2,0.998794,0.5,0.294118,2,0.999486,0.5,0.285714,2,0.999874,0.666667,0.428571,2,0.999983,1,2
